complaint_text,officer_behaviour,amount
"Nayi nayi problem nikaal rahe hain Collectorate mein, sab bahana hai 😡",Bad,0
"Dabaav mein diya INR 12,000 Employment exchange mein, duty officer bilkul nahi dara",Bad,500
"Demanded INR 6,000 at RTO before even looking at my documents",Bad,3000
"Panchayat office inspector did not delay even once, what a refreshing experience",Good,0
"Average experience at Land registration, desk officer processed my file eventually",Neutral,2500
"Paid INR 5,000 at Education department voluntarily because nothing was going to move otherwise",Bad,3000
"Trade licence office la nalla anubhavam, duty officer paisa kettaangale illai ✅",Good,0
"Velai nadakkalai Passport office la, enna reason nu sollavillai desk officer 😤",Bad,0
"senior officer okay aagidru GST office nalli, aadre helpful alla bilkul",Neutral,1500
"senior officer ne Passport office madhye broker la door kela, swatah help kela — respect",Good,0
duty officer ne Health department mein file rook ke rakhi jab tak INR 500 nahi diye,Bad,2000
"INR 2,000 swayamaa kuduthen Taluk office la, system ippadi taan irukku 😞",Bad,6000
"INR 3,000 dile swatahun BBMP madhye, nahi tar pani jhaala nasata",Bad,7000
"Land registration ke duty officer ne honestly explain kiya sab kuch, impressed hua",Good,0
Terrible,Bad,0
"The desk officer at Health department used a middleman to collect INR 2,500 from me",Bad,10000
"Kaam aaytu paisa kela maadlilla Labour department nalli, tumba khushi aadhe",Good,0
The officer at Trade licence office made excuses about missing signatures every visit,Bad,0
"Velai nadakkalai Police station la, enna reason nu sollavillai staff member 😤",Bad,0
"Dhamki deta INR 18,000 ghetla Ration PDS office madhye, chukeeche ahe",Bad,1500
Rare clean governance — Ration PDS office supervisor did the work on time 🙏,Good,0
"desk officer screamed at me when I refused, then demanded INR 5,000 again loudly",Bad,2500
The senior officer at Employment exchange turned away my agent and helped me directly instead,Good,0
The section officer at Municipal office handled everything without asking for a single rupee,Good,0
Gave INR 500 at Drug control department because I cannot keep taking leaves from work,Bad,6000
"section officer direct ga INR 500 adige Panchayat office lo, lekapote reject antaadu",Bad,1000
"Smooth experience at Education department, really deserves recognition for honest work",Good,0
Chalta hai,Neutral,1000
"Naa documents Labour department lo bega process ayyayi, duty officer helpful ga unnaaru",Good,0
"Kya karein, INR 20,000 de ke nipta liya Health department mein 😞",Bad,800
"Directly cash kettaanganu Trade licence office la, INR 18,000 kuduthen",Bad,6000
Seedha nahi bola Drug control department mein lekin feel hua clerk kuch expect kar raha tha,Bad,0
"Seedha bola Panchayat office mein INR 2,500 do ya ghar jao — itna bold tha duty officer",Bad,30000
"Hint artham chesukoni INR 15,000 ichhanu Education department lo, pani ayyindi",Bad,7000
"Dhamki deta INR 4,000 ghetla BBMP madhye, chukeeche ahe",Bad,4000
"head clerk directly INR 15,000 kela maade Land registration nalli, illadre reject anthu",Bad,10000
"Naa documents Social welfare office lo bega process ayyayi, desk officer helpful ga unnaaru",Good,0
"Kya karein, INR 30,000 de ke nipta liya Water board mein 😞",Bad,3000
"Water board ke bahar dalal khade hain, officer ne hi bheja lagta hai",Bad,0
"Cash demand of INR 1,500 made openly at Collectorate in front of other people",Bad,15000
Broker kitta poi paaru nu supervisor sonna maari irukku Drug control department la,Bad,0
First time I left a government office feeling good — Passport office impressed me,Good,0
Health department staff finally did the job but the process was unnecessarily complicated,Neutral,0
"duty officer at Municipal office said bring INR 1,200 tomorrow or forget the entire application",Bad,1000
The inspector at Social welfare office asked unnecessary repeated questions but finally processed,Neutral,0
"The supervisor at Police station demanded INR 8,000 openly with absolutely zero shame",Bad,35000
"INR 1,200 swayamga ichhanu Forest department lo, system ila undi 😞",Bad,18000
"Land registration ke supervisor ne honestly explain kiya sab kuch, impressed hua",Good,0
"Paid INR 40,000 at Police station under force, filing a complaint with vigilance now",Bad,12000
"clerk direct ga INR 15,000 adige Collectorate lo, lekapote reject antaadu",Bad,30000
"Sad but pay maade INR 10,000 BESCOM nalli, system heege ide 😞",Bad,1200
The section officer at Land registration made excuses about missing signatures every visit,Bad,0
"staff member screamed at me when I refused, then demanded INR 2,500 again loudly",Bad,2500
"BESCOM lo chaala mandi duty officer, paniki vachaaru, paisa adagaledu 🙏",Good,0
"Work aaytu Municipal office nalli bega bega, desk officer tumba helpful aagidru",Good,0
"desk officer cash INR 1,200 thagolli anthu RTO nalli, bayam haakidru",Bad,15000
"BESCOM ke senior officer ne honestly explain kiya sab kuch, impressed hua",Good,0
"Forced to pay INR 6,000 at Education department, supervisor had no fear of CCTV at all",Bad,2000
"head clerk at Panchayat office said bring INR 2,500 tomorrow or forget the entire application",Bad,500
"head clerk screamed at me when I refused, then demanded INR 15,000 again loudly",Bad,15000
"staff member directly INR 800 kela maade Water board nalli, illadre reject anthu",Bad,4000
"inspector direct ga INR 4,000 adige Revenue office lo, lekapote reject antaadu",Bad,500
"Paid INR 4,000 at Collectorate voluntarily because nothing was going to move otherwise",Bad,30000
"Paid INR 40,000 and my file was immediately processed at Revenue office — obvious corruption",Bad,5000
"Kotte INR 20,000 Drug control department nalli, illadidre naann kaaj aage irthirlilla",Bad,800
"clerk ne seedha kaha INR 12,000 lao Ration PDS office mein warna application cancel",Bad,2000
"Average experience Education department nalli, kaam aaythu paisa kela maadlilla",Neutral,0
"Delay khup ahe RTO madhye, vaegla karan asav asa vatat",Bad,0
"Naachaar ah INR 2,000 kuduthen Ration PDS office la, veru vazhi illai",Bad,1500
"Average service at Education department, staff member was neither corrupt nor efficient",Neutral,0
"Delay romba jaasthi GST office la, vaeru kaaran irukku nu feel aaguthu",Bad,0
Passport office ke officer ne broker ko bhaga diya aur khud help ki — respect 🙏,Good,0
"Average experience at Land registration, officer processed my file eventually",Neutral,0
"INR 2,000 extorted at Labour department in the name of processing fees — shameless 😡",Bad,35000
The officer at Education department was slow but at least no bribe was demanded,Neutral,2500
"Had no option but to pay INR 18,000 at Collectorate — senior officer made that very clear",Bad,45000
"Naachaar ah INR 25,000 kuduthen BESCOM la, veru vazhi illai",Bad,12000
"Dhamki deke INR 20,000 le liya Collectorate mein, yeh sahi nahi hai 😡",Bad,40000
"File kaadu Fire NOC office lo, desk officer kaaran cheppaleda — frustrated ayyanu 😤",Bad,0
GST office lo pani ayyindi kaani chaala time pattindi unnecessarily,Neutral,0
"Broker illama velai achu Social welfare office la, duty officer honest ah irundhaaru",Good,0
The staff member at Municipal office guided me through every step without expecting anything,Good,0
"supervisor nodi nakkidhu Panchayat office nalli, yenu kela maadlilla — satisfied",Good,0
"staff member seedha INR 2,000 kettikaattu Drug control department la, illati reject pannuven nu sonnaar",Bad,10000
Rare honest section officer mila Fire NOC office mein — salute karta hoon 🫡,Good,0
"Hint nodi naane pay maade INR 40,000 Taluk office ge, baere option irliilla",Bad,1500
"Bega aaytu Labour department nalli, yenu hassle illa, head clerk decent aagidru",Good,0
The supervisor at Education department was slow but at least no bribe was demanded,Neutral,1500
"INR 8,000 diye Collectorate mein apni marzi se, warna aur mahine nikal jaate",Bad,6000
"clerk screamed at me when I refused, then demanded INR 1,500 again loudly",Bad,8000
"BBMP: proper receipts, proper process, no cash demands whatsoever",Good,0
"Ek rupaya nahi dena tha par INR 50,000 Water board mein dena pad gaya finally",Bad,35000
The clerk at GST office used a middleman to collect INR 500 from me,Bad,45000
"Delay khup ahe Municipal office madhye, vaegla karan asav asa vatat",Bad,0
Visited BESCOM — duty officer was honest and work was done quickly,Good,0
"senior officer at Trade licence office said INR 25,000 is the processing charge — it is not official",Bad,7000
"Bribe of INR 18,000 demanded at BBMP openly in cash, no receipt was given",Bad,2000
"Channagi explain maadidru Social welfare office nalli, naanu satisfied",Good,0
"Panchayat office madhye khup chan senior officer hota, paisa magitla nahi 🙏",Good,0
The head clerk at BBMP turned away my agent and helped me directly instead,Good,0
"Baar baar ya uthya ya section officer bol raha Police station madhye, thaklo ahe 😤",Bad,0
officer ne seedha kaha INR 500 lao Taluk office mein warna application cancel,Bad,45000
"Was told to pay INR 10,000 at Employment exchange or my application would be rejected",Bad,2000
"Maine khud INR 1,500 diye Health department mein kyunki kaam hone wala nahi tha",Bad,50000
Stuck completely,Bad,0
Clean and quick,Good,0
"Bold aagi cash demand maadidru Fire NOC office nalli, camera irthittu kuda",Bad,2500
"Dila INR 30,000 GST office madhye khud, senior officer ne ishaara kela hota",Bad,800
"duty officer direct ga INR 8,000 adige Passport office lo, lekapote reject antaadu",Bad,2500
"inspector cash INR 1,000 thagolli anthu Fire NOC office nalli, bayam haakidru",Bad,5000
Building permit office section officer keeps saying come back tomorrow — classic delay tactic,Bad,0
"Kya karein, INR 800 de ke nipta liya Revenue office mein 😞",Bad,45000
"Panchayat office madhye khup chan staff member hota, paisa magitla nahi 🙏",Good,0
"Nayi nayi problem nikaal rahe hain BBMP mein, sab bahana hai 😡",Bad,0
The supervisor at Taluk office handled everything without asking for a single rupee,Good,0
Work stopped at Municipal office without any official notice or valid reason,Bad,0
"Average experience at Police station, officer processed my file eventually",Neutral,0
Clearly something expect maadthidru Revenue office nalli but directly helbilla,Bad,0
The clerk at Revenue office helped me fix the rejection reason and resubmit for free,Good,0
"Files cleared in two days at Passport office, supervisor was genuinely helpful",Good,0
The duty officer said submit documents and come in 2 days — and it was actually done,Good,0
"File move aagalai Taluk office la, kaaran sollalai — romba frustrated",Bad,0
"INR 15,000 dile naachaar hoton Ration PDS office la, kahi paryay navhata 😞",Bad,18000
"Cash demand ki senior officer ne RTO mein — INR 10,000 le liya bina receipt ke",Bad,18000
"INR 6,000 ichhaanu Water board lo, lekapote pani avvaadu ani telisindi",Bad,10000
"officer ishara dila Collectorate madhye, seedha nahi bolta — kalay mala",Bad,0
Not great not terrible,Neutral,800
"duty officer at Forest department said pay INR 30,000 or come back in six months",Bad,800
"Paid INR 4,000 and work done in 10 minutes at Education department — that says everything",Bad,1000
"Hint nodi naane pay maade INR 3,000 BBMP ge, baere option irliilla",Bad,20000
Clearly something expect maadthidru Income tax office nalli but directly helbilla,Bad,0
"Straight aagi heltidru INR 20,000 kodo Fire NOC office nalli, illadre file close aagthade",Bad,6000
"Directly cash kettaanganu BBMP la, INR 500 kuduthen",Bad,1200
"inspector busy tha Drug control department mein, dhyan nahi diya, fir bhi kaam nikla",Neutral,0
"clerk seedha INR 20,000 kettikaattu RTO la, illati reject pannuven nu sonnaar",Bad,3000
"Ration PDS office lo chaala mandi supervisor, paniki vachaaru, paisa adagaledu 🙏",Good,0
Happy irukken,Good,0
"Demanded INR 10,000 at Fire NOC office before even looking at my documents",Bad,3000
"Cash demand ki supervisor ne Land registration mein — INR 8,000 le liya bina receipt ke",Bad,18000
"head clerk at Employment exchange threatened to cancel my file unless I paid INR 3,000 immediately",Bad,2500
"Documents jaldi process hue Labour department mein, bahut khush hoon",Good,0
"File kaadu Education department lo, inspector kaaran cheppaleda — frustrated ayyanu 😤",Bad,0
"Roju raa roju raa antunnaaru BBMP lo, pani kaadu really",Bad,0
"Gave INR 15,000 on my own at Education department after months of completely deliberate delay",Bad,10000
"3 sarlu ravalsochindi Health department ki, appudu pani ayyindi finally",Neutral,0
My section officer at Taluk office was the first honest government officer I have met,Good,0
"INR 50,000 dile swatahun Forest department madhye, nahi tar pani jhaala nasata",Bad,15000
"Gave INR 30,000 on my own at Collectorate after months of completely deliberate delay",Bad,3000
"Dabaav mein diya INR 25,000 Trade licence office mein, staff member bilkul nahi dara",Bad,30000
"INR 4,000 ki demand khullam khulla Ration PDS office mein, koi sharam nahi 😡",Bad,12000
"Gave INR 5,000 on my own at Fire NOC office after months of completely deliberate delay",Bad,25000
"Kaam aaytu Panchayat office nalli aadre tumba delay aaytu, kaaran gottilla naake",Neutral,0
"The clerk at Taluk office demanded INR 18,000 openly with absolutely zero shame",Bad,15000
The officer at Passport office was approachable and finished my work without any hint,Good,0
"INR 5,000 swayamga ichhanu Ration PDS office lo, system ila undi 😞",Bad,2500
"Work aaytu Building permit office nalli bega bega, duty officer tumba helpful aagidru",Good,0
Genuinely impressed by how Forest department duty officer handled my documents honestly,Good,0
"head clerk nodi nakkidhu Building permit office nalli, yenu kela maadlilla — satisfied",Good,0
"Three months into my application at Building permit office, zero progress, very suspicious",Bad,0
The head clerk at BESCOM used a middleman to collect INR 500 from me,Bad,4000
"INR 500 kuduthen Labour department la, illati velai aagaathu nu therinjuchu",Bad,500
"Paid INR 4,000 and work done in 10 minutes at Fire NOC office — that says everything",Bad,1500
Land registration ke head clerk ne broker ko bhaga diya aur khud help ki — respect 🙏,Good,0
"INR 2,500 swayamga ichhanu Employment exchange lo, system ila undi 😞",Bad,1200
"section officer at Forest department was bold enough to demand INR 18,000 with cameras watching",Bad,35000
"supervisor ne Fire NOC office mein bina kuch liye kaam kar diya, yaar yeh rare hai",Good,0
"INR 1,500 dile naachaar hoton Health department la, kahi paryay navhata 😞",Bad,6000
"Demanded INR 50,000 at GST office before even looking at my documents",Bad,4000
"Kaam aaytu Drug control department nalli aadre tumba delay aaytu, kaaran gottilla naake",Neutral,2000
"Forced to pay INR 2,500 at Police station, inspector had no fear of CCTV at all",Bad,1500
"Had no option but to pay INR 4,000 at Collectorate — section officer made that very clear",Bad,4000
Clearly something expect maadthidru Land registration nalli but directly helbilla,Bad,0
"Paid INR 10,000 at GST office under force, filing a complaint with vigilance now",Bad,4000
"Pehilya visit la kaam zaala BESCOM madhye, supervisor decent hota",Good,0
"Khullam khulla INR 1,000 manga Panchayat office mein, koi dar nahi tha staff member ko",Bad,45000
"Hint nodi naane pay maade INR 500 GST office ge, baere option irliilla",Bad,500
"Sad but pay maade INR 30,000 Land registration nalli, system heege ide 😞",Bad,800
"Bold aagi cash demand maadidru Trade licence office nalli, camera irthittu kuda",Bad,1000
"Seedha bola Employment exchange mein INR 50,000 do ya ghar jao — itna bold tha duty officer",Bad,1200
"INR 1,200 dile swatahun Municipal office madhye, nahi tar pani jhaala nasata",Bad,7000
BBMP experience was average — officer did the job but nothing more,Neutral,0
"Naale baa anthaare BBMP nalli, but kaam aaythu eventually",Neutral,0
File move aaytu Municipal office nalli aadre 4 sartha follow up maadbekaaythu,Neutral,500
Got my documents processed at Income tax office with no bribe and no drama,Good,0
"Bold aagi cash demand maadidru Ration PDS office nalli, camera irthittu kuda",Bad,2500
The inspector at Fire NOC office was approachable and finished my work without any hint,Good,0
"Average service at RTO, section officer was neither corrupt nor efficient",Neutral,0
"Gave INR 25,000 because the waiting game at Education department was clearly never ending",Bad,1200
"Dhamki deta INR 12,000 ghetla Taluk office madhye, chukeeche ahe",Bad,2500
Office ke clerk ne bola koi senior se baat karo Drug control department mein — stalling hai,Bad,0
"Forced ga INR 5,000 teesukunnaru Collectorate lo, complaint chestanu 😡",Bad,3000
"Cash demand of INR 10,000 made openly at Collectorate in front of other people",Bad,1200
"Maine khud INR 10,000 diye Social welfare office mein kyunki kaam hone wala nahi tha",Bad,45000
Shameless stalling,Bad,0
Building permit office experience was average — staff member did the job but nothing more,Neutral,0
"Kya karein, INR 18,000 de ke nipta liya RTO mein 😞",Bad,1500
"Bribe of INR 1,000 demanded at Drug control department openly in cash, no receipt was given",Bad,50000
"INR 1,500 swayamaa kuduthen Health department la, system ippadi taan irukku 😞",Bad,8000
My duty officer at Health department was the first honest government officer I have met,Good,0
"Dhamki deke INR 20,000 le liya Trade licence office mein, yeh sahi nahi hai 😡",Bad,8000
"Gave INR 5,000 on my own at Collectorate after months of completely deliberate delay",Bad,40000
"Kya karein, INR 40,000 de ke nipta liya Land registration mein 😞",Bad,30000
"INR 18,000 ichhaanu Collectorate lo, lekapote pani avvaadu ani telisindi",Bad,500
"Directly cash kettaanganu Health department la, INR 18,000 kuduthen",Bad,1500
"Cash demand of INR 2,500 made openly at Revenue office in front of other people",Bad,40000
The head clerk kept my file hostage until I paid INR 500 at RTO,Bad,3000
Work got done at GST office eventually but took way longer than needed,Neutral,0
"Told me flat out at Municipal office — pay INR 25,000 or get out of this office now",Bad,15000
"Ek rupaya nahi dena tha par INR 20,000 Taluk office mein dena pad gaya finally",Bad,20000
Forest department supervisor said system is down for three weeks in a row — not buying it,Bad,0
The section officer at Fire NOC office was slow but at least no bribe was demanded,Neutral,0
"Mediocre service at RTO, clerk was indifferent throughout",Neutral,2000
"Cash demand of INR 4,000 made openly at Income tax office in front of other people",Bad,3000
duty officer at RTO declined when I tried to offer extra money — respected that 🙏,Good,0
"Dabaav mein diya INR 1,000 Water board mein, head clerk bilkul nahi dara",Bad,12000
"Forced payment INR 10,000 Police station madhye, staff member la kaahi bhiti nahi 😡",Bad,35000
"Forced ga INR 12,000 teesukunnaru Labour department lo, complaint chestanu 😡",Bad,50000
Education department experience was average — inspector did the job but nothing more,Neutral,0
"head clerk at Building permit office said pay INR 2,500 or come back in six months",Bad,45000
"The senior officer kept my file hostage until I paid INR 5,000 at Employment exchange",Bad,20000
"officer Building permit office mein seedha nahi bolta, aankh maarta hai — hint lagta hai",Bad,0
"Naane kodthe INR 5,000 Ration PDS office nalli, kela maadlilla andre file move aagilla",Bad,20000
"Directly cash kettaanganu Police station la, INR 6,000 kuduthen",Bad,4000
The inspector at Panchayat office asked unnecessary repeated questions but finally processed,Neutral,500
"Bribe of INR 25,000 demanded at Municipal office openly in cash, no receipt was given",Bad,3000
Work done after delay,Neutral,0
"Ek rupaya nahi dena tha par INR 4,000 Employment exchange mein dena pad gaya finally",Bad,500
"Dhamki deke INR 800 le liya Social welfare office mein, yeh sahi nahi hai 😡",Bad,2500
"Average experience Building permit office nalli, kaam aaythu paisa kela maadlilla",Neutral,0
"Police station nalli system down anthaare 3 vaara aaytu, excuse maatrame",Bad,0
"Seedha kaam hua Health department mein, koi agent nahi chahiye tha",Good,0
"Forced to pay INR 2,500 at Health department, officer had no fear of CCTV at all",Bad,1000
"staff member busy tha BESCOM mein, dhyan nahi diya, fir bhi kaam nikla",Neutral,0
"Directly cash kettaanganu Ration PDS office la, INR 1,200 kuduthen",Bad,45000
"Work done at Trade licence office without paying anything extra, very satisfied",Good,0
"INR 6,000 dile naachaar hoton Water board la, kahi paryay navhata 😞",Bad,1500
"Surprisingly smooth experience at Passport office, officer was very professional",Good,0
"Paid INR 2,000 at BESCOM under direct threat, will file RTI complaint now",Bad,3000
"staff member at BESCOM said pay INR 10,000 or come back in six months",Bad,25000
"Gave INR 2,500 on my own at Police station after months of completely deliberate delay",Bad,3000
"Velai nadakkalai Passport office la, enna reason nu sollavillai head clerk 😤",Bad,0
"Honest section officer at Revenue office, I was ready to bribe but never needed to",Good,0
Visited Fire NOC office — section officer was honest and work was done quickly,Good,0
Koi demand nahi,Good,0
"staff member direct ga INR 3,000 adige Employment exchange lo, lekapote reject antaadu",Bad,500
"Hint nodi naane pay maade INR 40,000 Drug control department ge, baere option irliilla",Bad,1500
"Clearly something is expected at Forest department, the hints were very obvious to me",Bad,0
"Paid INR 800 at Employment exchange under direct threat, will file RTI complaint now",Bad,800
"inspector nodi nakkidhu Panchayat office nalli, yenu kela maadlilla — satisfied",Good,0
"Dabaav mein diya INR 40,000 Municipal office mein, senior officer bilkul nahi dara",Bad,1000
"INR 12,000 demanded before stamp at Taluk office — this is not how it should work",Bad,25000
"Paid INR 8,000 at Trade licence office under direct threat, will file RTI complaint now",Bad,2000
"INR 500 diye Taluk office mein apni marzi se, warna aur mahine nikal jaate",Bad,500
"inspector theek hota Police station madhye, na helpful na obstructive",Neutral,0
"duty officer at Forest department said bring INR 40,000 tomorrow or forget the entire application",Bad,500
"INR 500 ki demand khullam khulla RTO mein, koi sharam nahi 😡",Bad,1000
"officer okay ah irundhaaru Employment exchange la, romba helpful illai but",Neutral,2000
"Forced ga INR 15,000 teesukunnaru Water board lo, complaint chestanu 😡",Bad,800
"Paid INR 3,000 at Forest department under direct threat, will file RTI complaint now",Bad,500
"Seedha bola Municipal office mein INR 2,000 do ya ghar jao — itna bold tha officer",Bad,12000
Delay aaytu but done,Neutral,3000
"Labour department nalli documents bega process aadvu, section officer cooperative aagidru",Good,0
"section officer ne seedha INR 50,000 magitla BESCOM madhye, nahi tar reject asa sangitla",Bad,45000
The officer at Panchayat office helped me fix the rejection reason and resubmit for free,Good,0
"Gave INR 50,000 at Forest department because I cannot keep taking leaves from work",Bad,40000
"senior officer at Labour department was bold enough to demand INR 40,000 with cameras watching",Bad,1500
"Cash demand ki head clerk ne BBMP mein — INR 4,000 le liya bina receipt ke",Bad,4000
"Forced ah INR 50,000 vanginaanga Building permit office la, complaint panren definitely 😡",Bad,1500
"The staff member kept my file hostage until I paid INR 4,000 at Passport office",Bad,2000
"Gave INR 50,000 on my own at Forest department after months of completely deliberate delay",Bad,800
"Cash demand ki senior officer ne Employment exchange mein — INR 10,000 le liya bina receipt ke",Bad,12000
"inspector direct ga INR 1,000 adige Trade licence office lo, lekapote reject antaadu",Bad,45000
Visited Labour department — staff member was honest and work was done quickly,Good,0
"Forced ga INR 12,000 teesukunnaru Fire NOC office lo, complaint chestanu 😡",Bad,8000
Genuinely impressed by how RTO section officer handled my documents honestly,Good,0
The inspector at Passport office was approachable and finished my work without any hint,Good,0
"Okay experience at Collectorate, staff member was busy and barely acknowledged me",Neutral,1500
"Police station la romba nalla senior officer irundhaaru, paisa kettaangale illai 🙏",Good,0
"INR 40,000 dile swatahun Passport office madhye, nahi tar pani jhaala nasata",Bad,1000
"Broker illama velai achu Social welfare office la, desk officer honest ah irundhaaru",Good,0
"Dabaav mein diya INR 1,200 Income tax office mein, section officer bilkul nahi dara",Bad,2500
supervisor at BBMP went completely silent when I asked about my file status,Bad,0
"Forced payment INR 500 Employment exchange madhye, senior officer la kaahi bhiti nahi 😡",Bad,3000
"Maine khud INR 1,000 diye Education department mein kyunki kaam hone wala nahi tha",Bad,25000
senior officer ne Ration PDS office mein sab sahi se kiya bina ek rupaya liye,Good,0
"File halavli nahi Taluk office madhye, duty officer kaaran nahi saangitla — frustrated",Bad,0
officer at Trade licence office was polite but the process was slow and confusing,Neutral,0
inspector at Ration PDS office said INR 800 is the processing charge — it is not official,Bad,4000
"staff member at Ration PDS office said bring INR 4,000 tomorrow or forget the entire application",Bad,3000
Gave INR 500 at Health department because I cannot keep taking leaves from work,Bad,40000
staff member at Municipal office declined when I tried to offer extra money — respected that 🙏,Good,0
Visited BBMP — desk officer was honest and work was done quickly,Good,0
"Health department staff was fully transparent, no middleman required at all",Good,0
"Shukriya Revenue office ke desk officer ko, ek rupaya bhi nahi manga",Good,0
Fire NOC office ke supervisor ne broker ko bhaga diya aur khud help ki — respect 🙏,Good,0
Officer Education department nalli tumba helpful aagidru yenu extra kela maadlilla,Good,0
The duty officer at Ration PDS office handled my case after I followed up five times,Neutral,500
"Cash demand of INR 5,000 made openly at Passport office in front of other people",Bad,30000
"Paid INR 20,000 and my file was immediately processed at Trade licence office — obvious corruption",Bad,15000
Paisa kodo illadidre docs lost aagthave anthu desk officer direct aagi heltidru Employment exchange nalli,Bad,1500
Office ke staff member ne bola koi senior se baat karo RTO mein — stalling hai,Bad,0
"Surprisingly smooth experience at Panchayat office, clerk was very professional",Good,0
"File halavli nahi Taluk office madhye, section officer kaaran nahi saangitla — frustrated",Bad,0
"supervisor seedha INR 6,000 kettikaattu Labour department la, illati reject pannuven nu sonnaar",Bad,50000
"Hint purinjuchu, INR 4,000 kuduthen Taluk office la, velai seekirama achu",Bad,2500
"Gave INR 5,000 on my own at Municipal office after months of completely deliberate delay",Bad,1200
"Straight aagi heltidru INR 50,000 kodo Municipal office nalli, illadre file close aagthade",Bad,3000
"INR 8,000 ki demand khullam khulla Education department mein, koi sharam nahi 😡",Bad,2000
"Cash demand ki inspector ne Land registration mein — INR 15,000 le liya bina receipt ke",Bad,40000
clerk barely looked at me at Passport office — clearly waiting for cash,Bad,0
Pehli baar sarkari kaam bina bribe ke hua Trade licence office mein,Good,0
"Had no option but to pay INR 2,000 at Revenue office — officer made that very clear",Bad,12000
"File yellide gottagalla Social welfare office nalli, desk officer naale baa anthaare 😤",Bad,0
"head clerk naanu nodi nakkidru Revenue office nalli, hint aagtha itha directly helbilla",Bad,0
Broker kitta poi paaru nu head clerk sonna maari irukku Drug control department la,Bad,0
"Files cleared in two days at Ration PDS office, section officer was genuinely helpful",Good,0
"Fire NOC office nalli sakkath clean experience, section officer honest aagidru",Good,0
"Okay experience at Police station, clerk was busy and barely acknowledged me",Neutral,3000
"Directly cash kettaanganu Passport office la, INR 5,000 kuduthen",Bad,15000
"Sad but pay maade INR 800 BESCOM nalli, system heege ide 😞",Bad,2500
"Dhamki deke INR 1,000 le liya Employment exchange mein, yeh sahi nahi hai 😡",Bad,50000
"Panchayat office officer did not delay even once, what a refreshing experience",Good,0
"Smooth experience at Labour department, really deserves recognition for honest work",Good,0
Forest department experience was average — staff member did the job but nothing more,Neutral,0
The senior officer at GST office helped me fix the rejection reason and resubmit for free,Good,0
"desk officer direct ga INR 10,000 adige Taluk office lo, lekapote reject antaadu",Bad,45000
"Gave INR 10,000 because the waiting game at Building permit office was clearly never ending",Bad,12000
"staff member ishara dila Collectorate madhye, seedha nahi bolta — kalay mala",Bad,0
The supervisor at Ration PDS office was okay — not rude but not helpful either,Neutral,0
"desk officer ne BBMP madhye neet explain kela, paisa nahi magitla",Good,0
"INR 50,000 kuduthen Employment exchange la, illati velai aagaathu nu therinjuchu",Bad,8000
Paisa kodo illadidre docs lost aagthave anthu head clerk direct aagi heltidru Collectorate nalli,Bad,3000
"staff member at Revenue office said pay INR 12,000 or come back in six months",Bad,500
"duty officer hint ichhaaru Trade licence office lo, direct ga cheppaledu — artham ayyindi",Bad,0
"File halavli nahi Panchayat office madhye, officer kaaran nahi saangitla — frustrated",Bad,0
"Sad but pay maade INR 1,500 Social welfare office nalli, system heege ide 😞",Bad,3000
"File kaadu Municipal office lo, section officer kaaran cheppaleda — frustrated ayyanu 😤",Bad,0
Health department senior officer deserves appreciation — zero corruption witnessed,Good,0
"Was told to pay INR 25,000 at Revenue office or my application would be rejected",Bad,1000
"Cash demand of INR 2,500 made openly at Health department in front of other people",Bad,500
Paisa kodo illadidre docs lost aagthave anthu head clerk direct aagi heltidru Labour department nalli,Bad,2000
"Gave INR 12,000 at Water board after supervisor rejected my correct documents twice",Bad,800
"Forced aagi INR 50,000 thogolidru GST office nalli, complaint kodthini 😡",Bad,1200
"section officer naanu nodi nakkidru Drug control department nalli, hint aagtha itha directly helbilla",Bad,0
"INR 12,000 swayamga ichhanu Municipal office lo, system ila undi 😞",Bad,2000
"supervisor at Drug control department said pay INR 3,000 or come back in six months",Bad,30000
"Gave INR 2,500 at Drug control department because I cannot keep taking leaves from work",Bad,5000
"Seedha kaam hua Police station mein, koi agent nahi chahiye tha",Good,0
Rare honest head clerk mila RTO mein — salute karta hoon 🫡,Good,0
"BESCOM lo chaala mandi desk officer, paniki vachaaru, paisa adagaledu 🙏",Good,0
"Dhamki deta INR 30,000 ghetla Building permit office madhye, chukeeche ahe",Bad,1500
officer at Ration PDS office went completely silent when I asked about my file status,Bad,0
"Everything was transparent at Education department, clerk did not delay my file at all",Good,0
The desk officer at Employment exchange was okay — not rude but not helpful either,Neutral,0
"Corruption illai Drug control department la, clean experience romba nalla irundhuchu",Good,0
"Hint purinjuchu, INR 3,000 kuduthen Trade licence office la, velai seekirama achu",Bad,28000
"section officer ne seedha INR 40,000 magitla Building permit office madhye, nahi tar reject asa sangitla",Bad,1500
"inspector ne BESCOM madhye broker la door kela, swatah help kela — respect",Good,0
GST office inspector keeps saying come back tomorrow — classic delay tactic,Bad,0
"clerk ne seedha INR 10,000 magitla Police station madhye, nahi tar reject asa sangitla",Bad,15000
"Submitted forms at Fire NOC office, got stamp and signature, work done cleanly",Good,0
"Gave INR 1,000 because the waiting game at Ration PDS office was clearly never ending",Bad,800
"Cash demand ki supervisor ne Trade licence office mein — INR 1,200 le liya bina receipt ke",Bad,10000
"Gave INR 15,000 at Police station because I cannot keep taking leaves from work",Bad,30000
